$CDC: RAGGRUPPAMENTI ;$CDC: Codice e descrizione;$CON: UNLG - Liv. 2;$CON: Codice;$CON: Descrizione;Ter_cod;Ter_descr;NOTE;gennaio;febbraio;marzo;aprile;maggio;giugno;luglio;agosto;settembre;ottobre;novembre;dicembre;Totale - Importo di default
3_1 ANZOLA EMILIA;200000 - San Vito;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000092;VITICOLTORI FRIULANI         *LA DELIZIA S.C;; 13,513.72 ; 10,378.04 ; 22,207.16 ; 23,816.42 ; 17,354.44 ; 17,031.45 ; 19,406.77 ; 24,047.71 ; 17,163.93 ; 15,738.55 ; 15,627.60 ; 25,114.21 ;221,400
3_1 ANZOLA EMILIA;310000 - Anzola - Atlante Vdca;3_01030 Affitto;4010100100;AFFITTI ATTIVI  ATTIVITA' PROP;0000000385;CONAPI SOC.COOP.;; 4,000.00 ; 4,000.00 ; 4,000.00 ; 4,000.00 ; 4,000.00 ; 4,000.00 ; 4,000.00 ; 4,000.00 ; 4,000.00 ; 4,000.00 ; 4,000.00 ; 4,000.00 ;48,000
3_1 ANZOLA EMILIA;310000 - Anzola - Atlante Vdca;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000001697;FELSINEO VEG S.R.L.;; 170.00 ; 170.00 ; 170.00 ; 170.00 ; 170.00 ; 170.00 ; 170.00 ; 170.00 ; 170.00 ; 170.00 ; 170.00 ; 170.00 ;2,040
3_1 ANZOLA EMILIA;310000 - Anzola - Atlante Vdca;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000001801;ATLANTE S.R.L.;; 10,000.00 ; 10,000.00 ; 10,000.00 ; 10,000.00 ; 10,000.00 ; 10,000.00 ; 10,000.00 ; 10,000.00 ; 10,000.00 ; 15,000.00 ; 12,000.00 ; 12,000.00 ;129,000
3_1 ANZOLA EMILIA;310000 - Anzola - Atlante Vdca;3_01020 Deposito;4010100100;AFFITTI ATTIVI  ATTIVITA' PROP;0000001801;ATLANTE S.R.L.;; 1,400.00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,400.00 ;2,800
3_1 ANZOLA EMILIA;360000 Clienti CTL 3%;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000543;GENNARO AURICCHIO SPA;; 9,000.00 ; 9,000.00 ; 9,000.00 ; 9,000.00 ; 9,000.00 ; 9,000.00 ; 9,000.00 ; 9,000.00 ; 9,000.00 ; 9,000.00 ; 9,000.00 ; 9,000.00 ;108,000
3_1 ANZOLA EMILIA;370000 Clienti CTL 5% (ex 7,5%);3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000150;CONSORZIO GRANTERRE S.C.A.;; 8,032.50 ; 8,032.50 ; 8,032.50 ; 8,568.00 ; 8,568.00 ; 8,568.00 ; 7,497.00 ; 9,103.50 ; 9,639.00 ; 10,174.50 ; 10,710.00 ; 10,174.50 ;107,100
3_1 ANZOLA EMILIA;370000 Clienti CTL 5% (ex 7,5%);3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000634;PARMAREGGIO S.P.A.;; 122,850.00 ; 122,850.00 ; 122,850.00 ; 131,040.00 ; 131,040.00 ; 131,040.00 ; 114,660.00 ; 139,230.00 ; 147,420.00 ; 155,610.00 ; 163,800.00 ; 155,610.00 ;1,638,000
3_1 ANZOLA EMILIA;370000 Clienti CTL 5% (ex 7,5%);3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001353;GRANDI SALUMIFICI ITALIANI S.P.A.UFF.FORNITORI;; 7,087.50 ; 7,087.50 ; 7,087.50 ; 7,560.00 ; 7,560.00 ; 7,560.00 ; 6,615.00 ; 8,032.50 ; 8,505.00 ; 8,977.50 ; 9,450.00 ; 8,977.50 ;94,500
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000178;ROBERTO INDUSTRIA ALIMENTARE  S.R.L;; 175,424.95 ; 175,424.95 ; 197,353.07 ; 175,424.95 ; 190,043.70 ; 182,734.33 ; 190,043.70 ; 190,043.70 ; 182,734.33 ; 190,043.70 ; 182,734.33 ; 182,734.33 ;2,214,740
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001825;ALIMENTA PRODUZIONI S.R.L.;; 92,519.96 ; 92,519.96 ; 104,084.96 ; 92,519.96 ; 100,229.96 ; 96,374.96 ; 100,229.96 ; 100,229.96 ; 96,374.96 ; 100,229.96 ; 96,374.96 ; 96,374.96 ;1,168,064
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000299;CO.IND SOCIETA' COOPERATIVA;; 57,831.97 ; 57,831.97 ; 65,060.96 ; 57,831.97 ; 62,651.30 ; 60,241.63 ; 62,651.30 ; 62,651.30 ; 60,241.63 ; 62,651.30 ; 60,241.63 ; 60,241.63 ;730,129
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002019;CERELIA ITALIA S.R.L. (SOCIO UNICO);; 56,721.13 ; 56,721.13 ; 63,811.27 ; 56,721.13 ; 61,447.89 ; 59,084.51 ; 61,447.89 ; 61,447.89 ; 59,084.51 ; 61,447.89 ; 59,084.51 ; 59,084.51 ;716,104
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001891;ALCE NERO S.P.A.;; 44,007.07 ; 44,007.07 ; 49,507.95 ; 44,007.07 ; 47,674.33 ; 45,840.70 ; 47,674.33 ; 47,674.33 ; 45,840.70 ; 47,674.33 ; 45,840.70 ; 45,840.70 ;555,589
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000652;NT FOOD S.P.A.;; 38,941.93 ; 38,941.93 ; 43,809.67 ; 38,941.93 ; 42,187.09 ; 40,564.51 ; 42,187.09 ; 42,187.09 ; 40,564.51 ; 42,187.09 ; 40,564.51 ; 40,564.51 ;491,642
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000118;CANTINE RIUNITE & CIV SOC.COOP.AGR.;; 28,710.33 ; 28,710.33 ; 32,299.12 ; 28,710.33 ; 31,102.85 ; 29,906.59 ; 31,102.85 ; 31,102.85 ; 29,906.59 ; 31,102.85 ; 29,906.59 ; 29,906.59 ;362,468
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000385;CONAPI SOC.COOP.;; 21,913.17 ; 21,913.17 ; 24,652.32 ; 21,913.17 ; 23,739.27 ; 22,826.22 ; 23,739.27 ; 23,739.27 ; 22,826.22 ; 23,739.27 ; 22,826.22 ; 22,826.22 ;276,654
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001514;TARGET 2000 S.P.A.;; 21,547.46 ; 21,547.46 ; 24,240.89 ; 21,547.46 ; 23,343.08 ; 22,445.27 ; 23,343.08 ; 23,343.08 ; 22,445.27 ; 23,343.08 ; 22,445.27 ; 22,445.27 ;272,037
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000182;EURIAL ITALIA SPA CON SOCIO UNICO;; 18,636.31 ; 18,636.31 ; 20,965.85 ; 18,636.31 ; 20,189.34 ; 19,412.82 ; 20,189.34 ; 20,189.34 ; 19,412.82 ; 20,189.34 ; 19,412.82 ; 19,412.82 ;235,283
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000122;DISTILLERIA TURCHETTO DI ALESSANDRO;; 19,742.06 ; 19,742.06 ; 22,209.82 ; 19,742.06 ; 21,387.23 ; 20,564.64 ; 21,387.23 ; 21,387.23 ; 20,564.64 ; 21,387.23 ; 20,564.64 ; 20,564.64 ;249,243
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000263;ALINOR S.P.A.;; 17,035.05 ; 17,035.05 ; 19,164.43 ; 17,035.05 ; 18,454.64 ; 17,744.84 ; 18,454.64 ; 18,454.64 ; 17,744.84 ; 18,454.64 ; 17,744.84 ; 17,744.84 ;215,068
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000409;CASEIFICIO COMELLINI ROBERTO S.P.A.;; 18,471.59 ; 18,471.59 ; 20,780.54 ; 18,471.59 ; 20,010.89 ; 19,241.24 ; 20,010.89 ; 20,010.89 ; 19,241.24 ; 20,010.89 ; 19,241.24 ; 19,241.24 ;233,204
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002082;CEREAL FOOD SRL;; 17,473.20 ; 17,473.20 ; 19,657.34 ; 17,473.20 ; 18,929.30 ; 18,201.25 ; 18,929.30 ; 18,929.30 ; 18,201.25 ; 18,929.30 ; 18,201.25 ; 18,201.25 ;220,599
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002193;CASEIFICIO VILLA S.R.L.;; 17,227.23 ; 17,227.23 ; 19,380.63 ; 17,227.23 ; 18,662.83 ; 17,945.03 ; 18,662.83 ; 18,662.83 ; 17,945.03 ; 18,662.83 ; 17,945.03 ; 17,945.03 ;217,494
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000141;C.D.D. S.P.A.;; 15,930.07 ; 15,930.07 ; 17,921.33 ; 15,930.07 ; 17,257.58 ; 16,593.82 ; 17,257.58 ; 17,257.58 ; 16,593.82 ; 17,257.58 ; 16,593.82 ; 16,593.82 ;201,117
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001233;PIADA D'ORO S.R.L.;; 15,558.36 ; 15,558.36 ; 17,503.15 ; 15,558.36 ; 16,854.88 ; 16,206.62 ; 16,854.88 ; 16,854.88 ; 16,206.62 ; 16,854.88 ; 16,206.62 ; 16,206.62 ;196,424
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000381;DOLCIARIA ROVELLI S.R.L.;; 15,021.53 ; 15,021.53 ; 16,899.22 ; 15,021.53 ; 16,273.33 ; 15,647.43 ; 16,273.33 ; 16,273.33 ; 15,647.43 ; 16,273.33 ; 15,647.43 ; 15,647.43 ;189,647
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000316;INALPI S.P.A.;; 14,573.64 ; 14,573.64 ; 16,395.34 ; 14,573.64 ; 15,788.11 ; 15,180.87 ; 15,788.11 ; 15,788.11 ; 15,180.87 ; 15,788.11 ; 15,180.87 ; 15,180.87 ;183,992
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000763;BIA S.P.A.;; 14,182.95 ; 14,182.95 ; 15,955.82 ; 14,182.95 ; 15,364.87 ; 14,773.91 ; 15,364.87 ; 15,364.87 ; 14,773.91 ; 15,364.87 ; 14,773.91 ; 14,773.91 ;179,060
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002199;STER S.P.A.;; 12,431.00 ; 12,431.00 ; 13,984.87 ; 12,431.00 ; 13,466.92 ; 12,948.96 ; 13,466.92 ; 13,466.92 ; 12,948.96 ; 13,466.92 ; 12,948.96 ; 12,948.96 ;156,941
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001026;CIVAGROUP DISTRIBUZIONE SRL;; 11,649.83 ; 11,649.83 ; 13,106.06 ; 11,649.83 ; 12,620.65 ; 12,135.24 ; 12,620.65 ; 12,620.65 ; 12,135.24 ; 12,620.65 ; 12,135.24 ; 12,135.24 ;147,079
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000272;BONI S.P.A;; 11,784.86 ; 11,784.86 ; 13,257.96 ; 11,784.86 ; 12,766.93 ; 12,275.89 ; 12,766.93 ; 12,766.93 ; 12,275.89 ; 12,766.93 ; 12,275.89 ; 12,275.89 ;148,784
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000078;COOP.AGRICOLA BRACCIANTI G.BELLINISCARL;; 10,978.22 ; 10,978.22 ; 12,350.50 ; 10,978.22 ; 11,893.07 ; 11,435.64 ; 11,893.07 ; 11,893.07 ; 11,435.64 ; 11,893.07 ; 11,435.64 ; 11,435.64 ;138,600
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000104;I.C.A. DI ENNIO ARGIOLAS SRL;; 11,656.09 ; 11,656.09 ; 13,113.10 ; 11,656.09 ; 12,627.43 ; 12,141.76 ; 12,627.43 ; 12,627.43 ; 12,141.76 ; 12,627.43 ; 12,141.76 ; 12,141.76 ;147,158
